year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2016,couple,Couple families with children,4m,4+ children,13,3000_3999,"$3,000-$3,999",13158,101341,0.12983886087565744,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,14,4000more,"$4,000 or more",104003,864229,0.12034194640540875,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,14,4000more,"$4,000 or more",170515,1003469,0.16992552834218097,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,14,4000more,"$4,000 or more",64980,363402,0.17881024320174352,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,14,4000more,"$4,000 or more",0,101341,0.0,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,1,negative_nil,Negative/Nil income,5063,995272,0.005087051579869623,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,1,negative_nil,Negative/Nil income,3588,1152489,0.0031132618185509796,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,1,negative_nil,Negative/Nil income,1227,397905,0.003083650620122894,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,1,negative_nil,Negative/Nil income,0,98106,0.0,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,2,1_149,$1-$149,892,995272,0.000896237410476734,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,2,1_149,$1-$149,580,1152489,0.0005032585994313178,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,2,1_149,$1-$149,186,397905,0.00046744826026312813,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,2,1_149,$1-$149,85,98106,0.0008664098016431208,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
